Year,Day,Amount_Lost_INR,Incident_Type,City,Category
2022,22,86530,Data Breach,Bangalore,Corporate
2023,21,231983,Phishing,Kolkata,Educational
2021,6,284707,Data Breach,Bangalore,E-commerce
2023,6,433557,Phishing,Ahmedabad,Health
2023,23,378816,Phishing,Jaipur,Government
2020,16,399992,Phishing,Mumbai,Corporate
2021,4,430660,Online Fraud,Kolkata,Financial
2021,11,463132,Ransomware,Ahmedabad,Health
2021,24,402927,Data Breach,Pune,Government
2023,23,206390,Identity Theft,Pune,Government
2022,9,346114,Phishing,Pune,Corporate
2021,23,244373,Online Fraud,Jaipur,Government
2024,3,348697,Online Fraud,Bangalore,Corporate
2023,19,162779,Online Fraud,Mumbai,E-commerce
2020,8,171182,Data Breach,Pune,Personal
2022,5,193860,Ransomware,Lucknow,Health
2024,4,83879,Data Breach,Kolkata,Educational
2024,24,433043,Identity Theft,Delhi,Personal
2020,6,239260,Ransomware,Lucknow,Health
2022,2,399871,Malware,Mumbai,Corporate
2023,20,308003,Cyber Bullying,Jaipur,Health
2019,28,447841,Online Fraud,Mumbai,E-commerce
2022,11,315242,Data Breach,Delhi,Corporate
2020,4,147323,Malware,Kolkata,Personal
2024,15,123413,Hacking,Delhi,Financial
2023,6,263670,Data Breach,Hyderabad,Financial
2022,22,331904,Phishing,Kolkata,Social Media
2019,17,48837,Cyber Bullying,Mumbai,Social Media
2019,24,261550,Phishing,Pune,Health
2021,6,274680,Ransomware,Mumbai,Financial
2021,19,29541,Cyber Bullying,Mumbai,Corporate
2020,25,80083,Data Breach,Kolkata,Government
2022,2,445243,Identity Theft,Hyderabad,Corporate
2022,15,35531,Malware,Mumbai,Government
2024,11,271856,Identity Theft,Lucknow,Personal
2024,8,367245,Data Breach,Ahmedabad,Educational
2024,26,328599,Ransomware,Chennai,Government
2021,19,75744,Phishing,Chennai,Financial
2022,13,253859,Cyber Bullying,Mumbai,Corporate
2022,12,130749,Identity Theft,Lucknow,Personal
2019,5,268253,Data Breach,Pune,Financial
2021,6,312412,Identity Theft,Jaipur,Personal
2023,26,232809,Data Breach,Jaipur,Educational
2021,22,317759,Phishing,Kolkata,E-commerce
2023,4,83503,Cyber Bullying,Chennai,Corporate
2019,19,255346,Malware,Mumbai,Health
2020,20,423975,Phishing,Jaipur,Corporate
2022,1,86708,Identity Theft,Mumbai,Social Media
2019,20,192184,Malware,Kolkata,Educational
2022,17,103471,Data Breach,Chennai,Corporate
2024,12,255225,Malware,Delhi,Social Media
2020,15,158661,Data Breach,Ahmedabad,Health
2020,1,162087,Phishing,Ahmedabad,Government
2019,26,161081,Identity Theft,Jaipur,Personal
2020,14,346453,Ransomware,Ahmedabad,Health
2023,6,389590,Identity Theft,Delhi,Financial
2020,5,194118,Data Breach,Mumbai,Educational
2022,11,369805,Online Fraud,Kolkata,Government
2022,4,158215,Cyber Bullying,Delhi,Financial
2022,13,7154,Hacking,Kolkata,Financial
2022,11,153876,Ransomware,Kolkata,Educational
2023,3,435904,Malware,Chennai,Government
2021,1,65288,Ransomware,Mumbai,E-commerce
2024,6,52195,Cyber Bullying,Lucknow,Financial
2019,18,283725,Malware,Ahmedabad,Financial
2022,24,446864,Cyber Bullying,Lucknow,Government
2020,10,293231,Malware,Chennai,Corporate
2022,5,182002,Ransomware,Kolkata,Financial
2020,23,165053,Malware,Jaipur,Personal
2024,10,70298,Malware,Ahmedabad,Government
2024,12,309311,Online Fraud,Ahmedabad,Financial
2024,2,207376,Identity Theft,Mumbai,Educational
2020,13,437624,Identity Theft,Hyderabad,Health
2022,8,40499,Hacking,Bangalore,Personal
2024,2,388960,Hacking,Bangalore,Social Media
2023,20,446485,Data Breach,Bangalore,Social Media
2020,1,170631,Data Breach,Hyderabad,Health
2020,5,246198,Data Breach,Mumbai,Social Media
2022,9,468535,Online Fraud,Hyderabad,Health
2020,17,243997,Hacking,Bangalore,Financial
2020,9,489533,Cyber Bullying,Chennai,Personal
2024,11,97347,Data Breach,Delhi,Personal
2022,15,311931,Data Breach,Kolkata,Corporate
2024,24,298632,Ransomware,Hyderabad,Health
2024,6,337585,Phishing,Mumbai,Personal
2022,23,206735,Cyber Bullying,Mumbai,Corporate
2019,3,23431,Data Breach,Lucknow,Government
2024,17,324825,Data Breach,Delhi,Corporate
2023,5,195555,Data Breach,Jaipur,Educational
2023,28,123720,Phishing,Ahmedabad,E-commerce
2020,12,50153,Phishing,Bangalore,Financial
2023,18,269512,Online Fraud,Jaipur,Government
2020,14,421640,Cyber Bullying,Lucknow,E-commerce
2019,21,375504,Online Fraud,Bangalore,E-commerce
2022,24,177076,Malware,Delhi,Government
2022,11,478085,Phishing,Lucknow,Educational
2022,9,220724,Ransomware,Bangalore,Corporate
2023,2,375899,Hacking,Delhi,Financial
2019,12,57985,Ransomware,Pune,Corporate
2023,3,313213,Hacking,Jaipur,Personal
2023,3,315470,Phishing,Jaipur,Corporate
2019,1,109737,Phishing,Ahmedabad,Social Media
2019,8,213133,Phishing,Delhi,Government
2019,22,155470,Online Fraud,Hyderabad,Financial
2019,28,230465,Cyber Bullying,Pune,Corporate
2022,8,51861,Hacking,Chennai,Financial
2021,11,339041,Cyber Bullying,Bangalore,Financial
2021,9,213977,Online Fraud,Pune,Personal
2019,5,128118,Online Fraud,Delhi,Personal
2021,14,331721,Identity Theft,Kolkata,Government
2021,28,197713,Ransomware,Bangalore,Educational
2019,3,10078,Ransomware,Mumbai,Social Media
2021,21,419219,Malware,Jaipur,E-commerce
2023,5,325912,Data Breach,Delhi,Financial
2020,5,52047,Online Fraud,Mumbai,Educational
2020,19,334770,Hacking,Ahmedabad,E-commerce
2019,27,320804,Identity Theft,Lucknow,E-commerce
2022,14,236458,Identity Theft,Chennai,Social Media
2019,26,444002,Data Breach,Chennai,Government
2022,4,396141,Cyber Bullying,Mumbai,E-commerce
2020,25,216048,Data Breach,Jaipur,Social Media
2019,13,237293,Data Breach,Ahmedabad,E-commerce
2024,10,118832,Data Breach,Kolkata,Financial
2023,25,393550,Ransomware,Jaipur,Financial
2021,18,126150,Online Fraud,Pune,Health
2022,8,158087,Malware,Chennai,Educational
2024,8,34320,Online Fraud,Pune,Corporate
2021,7,328025,Cyber Bullying,Bangalore,Social Media
2021,8,91827,Phishing,Hyderabad,Personal
2019,14,365359,Data Breach,Delhi,Social Media
2021,19,420505,Online Fraud,Ahmedabad,Corporate
2023,6,260931,Cyber Bullying,Jaipur,Educational
2024,1,397605,Phishing,Chennai,Personal
2021,23,419899,Phishing,Pune,Corporate
2019,15,407845,Data Breach,Lucknow,Health
2023,1,324694,Malware,Bangalore,Personal
2020,25,25826,Hacking,Delhi,Financial
2024,17,101734,Ransomware,Delhi,Corporate
2021,1,158702,Online Fraud,Jaipur,Social Media
2019,15,230834,Phishing,Ahmedabad,Personal
2020,23,178235,Online Fraud,Kolkata,Health
2020,2,99511,Hacking,Lucknow,Social Media
2022,14,460651,Ransomware,Jaipur,E-commerce
2023,21,274797,Hacking,Pune,Personal
2021,8,160033,Ransomware,Hyderabad,Personal
2019,8,82941,Identity Theft,Mumbai,Health
2022,19,206209,Ransomware,Kolkata,E-commerce
2023,7,296806,Data Breach,Ahmedabad,Corporate
2022,19,99818,Malware,Bangalore,Government
2024,6,450662,Hacking,Kolkata,Corporate
2023,6,153360,Phishing,Chennai,E-commerce
2023,3,254627,Data Breach,Ahmedabad,Educational
2021,7,96081,Identity Theft,Hyderabad,Social Media
2023,19,37877,Malware,Chennai,Health
2022,8,374706,Online Fraud,Kolkata,Corporate
2023,10,409529,Data Breach,Mumbai,Personal
2021,20,212957,Hacking,Mumbai,Health
2021,15,73715,Cyber Bullying,Hyderabad,Financial
2024,15,142398,Cyber Bullying,Delhi,E-commerce
2022,1,111091,Phishing,Lucknow,Social Media
2020,20,133632,Ransomware,Bangalore,Corporate
2020,7,342292,Phishing,Delhi,Health
2023,27,84186,Cyber Bullying,Mumbai,Social Media
2024,4,420961,Online Fraud,Mumbai,Corporate
2019,6,163962,Identity Theft,Pune,Health
2023,25,152094,Identity Theft,Chennai,Personal
2024,1,386773,Hacking,Kolkata,Financial
2022,5,446795,Identity Theft,Bangalore,Financial
2022,27,71316,Hacking,Hyderabad,Educational
2022,23,478063,Data Breach,Kolkata,Health
2022,1,29380,Hacking,Pune,Corporate
2022,4,111198,Data Breach,Mumbai,Financial
2024,22,265500,Hacking,Hyderabad,E-commerce
2024,2,71326,Cyber Bullying,Mumbai,Financial
2021,10,355591,Cyber Bullying,Bangalore,Government
2020,5,115994,Ransomware,Chennai,Government
2022,27,221971,Data Breach,Kolkata,Financial
2019,10,283193,Malware,Kolkata,Health
2024,1,469933,Data Breach,Delhi,Educational
2019,22,368505,Hacking,Hyderabad,Financial
2019,6,279226,Hacking,Lucknow,Personal
2019,13,263805,Malware,Pune,Social Media
2021,15,169484,Phishing,Lucknow,Corporate
2024,4,266064,Hacking,Delhi,Educational
2019,13,485410,Ransomware,Bangalore,Personal
2022,24,246378,Identity Theft,Pune,Educational
2023,20,454531,Identity Theft,Chennai,Personal
