Year,Day,Amount_Lost_INR,Incident_Type,City,Category,event_date,Incident_label,City_enc,Category_enc,iso_score,iso_anomaly,anomaly_synth_loss,text_desc,embed_x,embed_y,type_group,ae_x,ae_y,ae_recon_mse,ae_z1,ae_z2,ae_mse,ae_anom
2022,22,86530,Data Breach,Bangalore,Corporate,2022-01-22,1,1,0,0.07591800843512442,0,0,Data Breach | Bangalore | Corporate | loss 86530 INR,2.5136073,-0.78256863,Data Breach,-0.557674,-2.1073968,0.052143905468733424,-0.557674,-2.1073968,0.052143905468733424,0
2023,21,231983,Phishing,Kolkata,Educational,2023-01-21,8,6,2,0.11152060284496995,0,0,Phishing | Kolkata | Educational | loss 231983 INR,4.6940584,11.192687,Phishing,-0.58240145,-0.009593517,0.052828641940960736,-0.58240145,-0.009593517,0.052828641940960736,0
2021,6,284707,Data Breach,Bangalore,E-Commerce,2021-01-06,1,1,1,0.10298340892087376,0,0,Data Breach | Bangalore | E-Commerce | loss 284707 INR,1.4088527,-7.922071,Data Breach,-0.081538364,-1.2046555,0.3285165677292384,-0.081538364,-1.2046555,0.3285165677292384,0
2023,6,433557,Phishing,Ahmedabad,Health,2023-01-06,8,0,5,0.03275832637432763,0,0,Phishing | Ahmedabad | Health | loss 433557 INR,4.471403,10.242051,Phishing,-3.411135,2.1931274,0.206552020371809,-3.411135,2.1931274,0.206552020371809,0
2023,23,378816,Phishing,Jaipur,Government,2023-01-23,8,5,4,0.09520999984036804,0,0,Phishing | Jaipur | Government | loss 378816 INR,2.1231081,11.845504,Phishing,-2.0143485,0.19511265,0.009558671832443116,-2.0143485,0.19511265,0.009558671832443116,0
2020,16,399992,Phishing,Mumbai,Corporate,2020-01-16,8,8,0,0.03356526800535242,0,0,Phishing | Mumbai | Corporate | loss 399992 INR,3.7943165,9.509137,Phishing,-0.18259297,0.35700196,0.0520540432417156,-0.18259297,0.35700196,0.0520540432417156,0
2021,4,430660,Online Fraud,Kolkata,Financial,2021-01-04,6,6,3,0.0897479371711527,0,0,Online Fraud | Kolkata | Financial | loss 430660 INR,-4.3982773,13.509935,Online Fraud,-0.058878742,0.5942331,0.14253304191752858,-0.058878742,0.5942331,0.14253304191752858,0
2021,11,463132,Ransomware,Ahmedabad,Health,2021-01-11,9,0,5,0.025385314506662815,0,0,Ransomware | Ahmedabad | Health | loss 463132 INR,12.716099,3.1386876,Ransomware,-0.93752354,3.279314,0.41633982270348907,-0.93752354,3.279314,0.41633982270348907,0
2021,24,402927,Data Breach,Pune,Government,2021-01-24,1,9,4,0.06015071940419492,0,0,Data Breach | Pune | Government | loss 402927 INR,1.9107665,-1.8992356,Data Breach,0.22131932,0.5370067,0.152800417987575,0.22131932,0.5370067,0.152800417987575,0
2023,23,206390,Identity Theft,Pune,Government,2023-01-23,3,9,4,0.08671847301643731,0,0,Identity Theft | Pune | Government | loss 206390 INR,-5.7151375,8.191492,Identity Theft,-1.4698092,-0.2949329,0.08158371219179887,-1.4698092,-0.2949329,0.08158371219179887,0
2022,9,346114,Phishing,Pune,Corporate,2022-01-09,8,9,0,0.031224500344573247,0,0,Phishing | Pune | Corporate | loss 346114 INR,3.2807195,9.966005,Phishing,-0.24842758,0.13203353,0.08281951139369832,-0.24842758,0.13203353,0.08281951139369832,0
